Lost,Total Datagrams,Loss Rate (%)
3296,66404,4.963556412264322
3517,70043,5.021201262081864
3473,69994,4.96185387318913
3434,70010,4.905013569490073
3441,70035,4.913257656885843
3359,70042,4.795694012164129
3390,70053,4.839193182304826
3478,70020,4.9671522422165095
3551,70024,5.071118473666171
3473,70022,4.959869755219788
3448,70025,4.923955730096394
3538,70035,5.05175983436853
3484,70027,4.975223842232282
3479,70007,4.96950304969503
5994,70062,8.556320459583377
3388,70007,4.8395160483951605
3544,70044,5.059676774598824
3558,70031,5.080607159686425
3421,70032,4.884909755540325
3485,70034,4.976154439272353
3476,70012,4.9648631663143465
3417,70024,4.87975551239575
3660,70018,5.22722728441258
3676,70037,5.248654282736268
3470,70060,4.952897516414502
3404,70031,4.860704545130014
3614,69997,5.16307841764647
3537,70036,5.0502598663544465
3534,70018,5.047273558227884
5825,70033,8.318572117152307
3476,70022,4.9641541229899175
3451,70053,4.926270109774028
3549,69998,5.070144861281751
3492,70052,4.984868383486553
3470,70025,4.9553730810424845
3541,70041,5.0556102854042635
3542,70021,5.058482455263421
3531,70029,5.042196804181125
3497,70035,4.993217676875847
4423,69998,6.318751964341838
3479,70048,4.966594335312928
3440,70012,4.913443409701194
3440,70016,4.913162705667276
3462,70038,4.9430309260687055
5703,70045,8.143178194782305
3516,70041,5.01991690581231
3473,70012,4.9605781865965834
3565,70038,5.090093948999115
3635,70020,5.191373893173379
3532,70013,5.044777398483139
3492,70059,4.984370316447566
3495,69997,4.993071131619926
3489,70027,4.98236394533537
3443,70040,4.915762421473444
3480,70041,4.968518439199897
3387,69997,4.83877880480592
3525,70036,5.033125821006339
3520,70054,5.024695235104348
3427,70022,4.894176116077804
6173,70001,8.818787268964403
3470,70045,4.953958169748019
3449,70027,4.92524312051066
3507,70049,5.006495453182772
3518,69981,5.0270787785256
3534,70060,5.04424778761062
3572,70011,5.102055391295654
3580,70022,5.112678872354403
3479,70066,4.965318414066737
3515,70008,5.020854759456062
3445,70028,4.919460787113726
3493,70018,4.988717187009055
3505,70016,5.005998628884827
3657,70059,5.219886096004796
3544,70023,5.0611941790554535
5839,70033,8.337766904200453
3498,70038,4.994431594277392
3415,70015,4.877526244376205
3432,70043,4.899847236697457
3382,69997,4.831635641527494
3483,70051,4.972091761716464
3425,69991,4.893486305382121
3485,70054,4.974733776800753
3552,70003,5.074068254217677
